Model,Forecast_Multiplier,Total_Cost,CashOut_Days,Refill_Count,Total_Refilled,Delta_Cost_%,Delta_RefillCount,Delta_TotalRefilled,RefillDays_Jaccard_vs_Base
LSTM,1.05,1215097.14891,0,297,121509714.891,5.108127270858809,0,5905224.5,0.9932885906040269
LSTM,1.051,1216278.19278,0,297,121627819.278,5.210289727179096,0,6023328.8869999945,0.9932885906040269
LSTM,1.052,1217459.23841,0,297,121745923.84099999,5.312452335742601,0,6141433.449999988,0.9932885906040269
LSTM,1.053,1218640.2839900001,0,297,121864028.39899999,5.414614939981033,0,6259538.007999986,0.9932885906040269
LSTM,1.054,1219821.3280200001,0,297,121982132.80199999,5.516777410141627,0,6377642.410999984,0.9932885906040269
LSTM,1.055,1221002.37099,0,297,122100237.099,5.6189397886102554,0,6495746.708000004,0.9932885906040269
LSTM,1.056,1222183.4170600001,0,298,122218341.70599999,5.721102435234582,1,6613851.314999983,0.9899665551839465
LSTM,1.057,1223364.46159,0,298,122336446.15899998,5.8232649486460675,1,6731955.767999977,0.9899665551839465
LSTM,1.058,1224545.5080900001,0,298,122454550.809,5.925427632466174,1,6850060.417999998,0.9899665551839465
LSTM,1.059,1225726.55223,0,298,122572655.22299999,6.027590112141956,1,6968164.831999987,0.9899665551839465
LSTM,1.06,1226907.5961900002,0,298,122690759.61899999,6.129752576247416,1,7086269.227999985,0.9899665551839465
LSTM,1.061,1228088.6428200002,0,298,122808864.282,6.231915271312771,1,7204373.891000003,0.9899665551839465
LSTM,1.062,1229269.68769,0,298,122926968.76900001,6.334077814134886,1,7322478.378000006,0.9899665551839465
LSTM,1.063,1230450.7299721,0,304,123045072.99721,6.436240133098892,7,7440582.606209993,0.9512987012987013
LSTM,1.064,1231631.7785097,0,298,123163177.85097,6.538402993175141,1,7558687.459969997,0.9572368421052632
LSTM,1.065,1232812.822427,0,304,123281282.24270001,6.640565453586955,7,7676791.851700008,0.9512987012987013
LSTM,1.066,1233993.866675,0,304,123399386.66749999,6.742727942604954,7,7794896.276499987,0.9512987012987013
LSTM,1.067,1235174.9118730002,0,304,123517491.1873,6.844890513799684,7,7913000.796299994,0.9512987012987013
LSTM,1.068,1236355.95662,0,304,123635595.662,6.947053045982066,7,8031105.270999998,0.9512987012987013
LSTM,1.069,1237537.000888,0,304,123753700.08880001,7.04921553673008,7,8149209.69780001,0.9512987012987013
LSTM,1.07,1238718.047065,0,304,123871804.7065,7.151378192610114,7,8267314.315499991,0.9512987012987013
LSTM,1.071,1239899.093543,0,304,123989909.35429999,7.253540874527165,7,8385418.96329999,0.9512987012987013
LSTM,1.072,1241080.1345310002,0,304,124108013.4531,7.355703081549203,7,8503523.062099993,0.9512987012987013
LSTM,1.073,1242261.181688,0,304,124226118.1688,7.457865822200982,7,8621627.777799994,0.9512987012987013
LSTM,1.074,1243442.2249756,0,304,124344222.49756,7.560028228142612,7,8739732.106559992,0.9512987012987013
LSTM,1.075,1244623.271343,0,303,124462327.13430001,7.662190900492583,6,8857836.743300006,0.9607843137254902
LSTM,1.076,1245804.313811,0,303,124580431.3811,7.764353235537302,6,8975940.990099996,0.9607843137254902
LSTM,1.077,1246985.3631890002,0,303,124698536.3189,7.86651616830969,6,9094045.927900001,0.9607843137254902
LSTM,1.078,1248166.403746,0,302,124816640.37460001,7.968678338049395,5,9212149.983600006,0.9511400651465798
LSTM,1.079,1249347.452434,0,303,124934745.24340001,8.070841211135505,6,9330254.852400005,0.9607843137254902
