ATM,Date,Refill_Amount,Stock,Refilled,Out_of_Cash,Day_Cost,Predicted_Withdrawal
4,2006-04-24,836375.42,727720.79,1,0,8363.754200000001,108654.63658198192
4,2006-04-25,0.0,578019.77,0,0,0.0,149701.01982192672
4,2006-04-26,0.0,407036.91,0,0,0.0,170982.8575322576
4,2006-04-27,0.0,229987.41,0,0,0.0,177049.50259270644
4,2006-04-28,0.0,135642.5,0,0,0.0,94344.90605652276
4,2006-04-29,0.0,67383.902,0,0,0.0,68258.59881516604
4,2006-04-30,0.0,0.0,0,0,0.0,67383.90231978211
5,2006-04-24,585886.86,507234.52,1,0,5858.8686,78652.3404254656
5,2006-04-25,0.0,394970.4,0,0,0.0,112264.12092655424
5,2006-04-26,0.0,271139.05,0,0,0.0,123831.34602163424
5,2006-04-27,0.0,149438.19,0,0,0.0,121700.85881881704
5,2006-04-28,0.0,83913.176,0,0,0.0,65525.016425260656
5,2006-04-29,0.0,47895.299,0,0,0.0,36017.87678317161
5,2006-04-30,0.0,0.0,0,0,0.0,47895.299127657134
1,2006-05-01,722393.87,653958.64,1,0,7223.9387,68435.22258419935
1,2006-05-02,0.0,576401.9,0,0,0.0,77556.74136646341
1,2006-05-03,0.0,496554.62,0,0,0.0,79847.28029607459
1,2006-05-04,0.0,378163.94,0,0,0.0,118390.67865986442
1,2006-05-05,0.0,232442.76,0,0,0.0,145721.1811732719
1,2006-05-06,0.0,108761.02,0,0,0.0,123681.7418952423
1,2006-05-07,0.0,0.0,0,0,0.0,108761.02040171588
2,2006-05-01,759362.14,681161.43,1,0,7593.6214,78200.7136368587
2,2006-05-02,0.0,581129.32,0,0,0.0,100032.10513597944
2,2006-05-03,0.0,467785.84,0,0,0.0,113343.48303897648
2,2006-05-04,0.0,348201.57,0,0,0.0,119584.26893029784
2,2006-05-05,0.0,213433.7,0,0,0.0,134767.86780635107
2,2006-05-06,0.0,97373.731,0,0,0.0,116059.9725405568
2,2006-05-07,0.0,0.0,0,0,0.0,97373.73095413912
3,2006-05-01,330161.34,296167.24,1,0,3301.6134,33994.09499598368
3,2006-05-02,0.0,262301.68,0,0,0.0,33865.5633716357
3,2006-05-03,0.0,224230.05,0,0,0.0,38071.63128027651
3,2006-05-04,0.0,167561.51,0,0,0.0,56668.53704781894
3,2006-05-05,0.0,99903.37,0,0,0.0,67658.14112197589
3,2006-05-06,0.0,46128.388,0,0,0.0,53774.98161017848
3,2006-05-07,0.0,0.0,0,0,0.0,46128.38837564437
4,2006-05-01,363173.25,325823.22,1,0,3631.7325,37350.03421247879
4,2006-05-02,0.0,286969.27,0,0,0.0,38853.94716621991
4,2006-05-03,0.0,253819.91,0,0,0.0,33149.35990418625
4,2006-05-04,0.0,186154.23,0,0,0.0,67665.67969144952
