"ATM_ID,""ATM_NUMBER"",""DATE"",""ATM_WITHDRWLS"",""ATM_WITHDRWLS_SCALED"",""DAY_OF_WEEK"",""DAY_IN_MONTH"",""MONTH"",""YEAR"",""ATM_WITHDRWLS_1WEEKAGO"",""ATM_WITHDRWLS_2WEEKAGO"",""AVG_ATM_WITHDRW_PREVMONTH"",""FIRSTWORKDAY"",""LASTWORKDAY"",""IsSaturday"",""IsSunday"",""HOLIDAY"""
"Z0241002,""1"",""11/02/2008"",""78115"",""0.23"",""2"",""11"",""2"",""2008"",""179550"",""159830"",""119166.774"",""0"",""0"",""0"",""0"",""0"""
"Z0951001,""2"",""11/02/2008"",""68050"",""0.2"",""2"",""11"",""2"",""2008"",""145055"",""119080"",""71480.161"",""0"",""0"",""0"",""0"",""0"""
"Z1031001,""3"",""11/02/2008"",""14760"",""0.04"",""2"",""11"",""2"",""2008"",""68930"",""35010"",""28610"",""0"",""0"",""0"",""0"",""0"""
"Z1119001,""4"",""11/02/2008"",""28970"",""0.08"",""2"",""11"",""2"",""2008"",""75380"",""106435"",""61112.258"",""0"",""0"",""0"",""0"",""0"""
"Z1899001,""5"",""11/02/2008"",""15125"",""0.04"",""2"",""11"",""2"",""2008"",""89875"",""61375"",""45308.548"",""0"",""0"",""0"",""0"",""0"""
"Z0241002,""1"",""10/02/2008"",""40800"",""0.12"",""1"",""10"",""2"",""2008"",""73950"",""44430"",""119784.839"",""1"",""0"",""0"",""0"",""0"""
"Z0951001,""2"",""10/02/2008"",""25530"",""0.07"",""1"",""10"",""2"",""2008"",""31900"",""0"",""71948.387"",""1"",""0"",""0"",""0"",""0"""
"Z1031001,""3"",""10/02/2008"",""8880"",""0.03"",""1"",""10"",""2"",""2008"",""11620"",""18970"",""31667.742"",""1"",""0"",""0"",""0"",""0"""
"Z1119001,""4"",""10/02/2008"",""12030"",""0.04"",""1"",""10"",""2"",""2008"",""0"",""54425"",""58372.742"",""1"",""0"",""0"",""0"",""0"""
"Z1899001,""5"",""10/02/2008"",""4920"",""0.01"",""1"",""10"",""2"",""2008"",""200"",""23785"",""49227.581"",""1"",""0"",""0"",""0"",""0"""
"Z0241002,""1"",""09/02/2008"",""85940"",""0.25"",""7"",""9"",""2"",""2008"",""222520"",""150150"",""121843.871"",""0"",""1"",""0"",""1"",""0"""
"Z0951001,""2"",""09/02/2008"",""42355"",""0.12"",""7"",""9"",""2"",""2008"",""92520"",""106560"",""72061.935"",""0"",""1"",""0"",""1"",""0"""
"Z1031001,""3"",""09/02/2008"",""9730"",""0.03"",""7"",""9"",""2"",""2008"",""18590"",""37750"",""32709.355"",""0"",""1"",""0"",""1"",""0"""
"Z1119001,""4"",""09/02/2008"",""25645"",""0.08"",""7"",""9"",""2"",""2008"",""74185"",""164325"",""61649.677"",""0"",""1"",""0"",""1"",""0"""
"Z1899001,""5"",""09/02/2008"",""13065"",""0.04"",""7"",""9"",""2"",""2008"",""34030"",""50305"",""50208.548"",""0"",""1"",""0"",""1"",""0"""
"Z0241002,""1"",""08/02/2008"",""101440"",""0.3"",""6"",""8"",""2"",""2008"",""121710"",""262860"",""127237.742"",""0"",""0"",""1"",""0"",""1"""
"Z0951001,""2"",""08/02/2008"",""76965"",""0.23"",""6"",""8"",""2"",""2008"",""79980"",""164120"",""73310.645"",""0"",""0"",""1"",""0"",""1"""
"Z1031001,""3"",""08/02/2008"",""13380"",""0.04"",""6"",""8"",""2"",""2008"",""17160"",""116110"",""34216.774"",""0"",""0"",""1"",""0"",""1"""
"Z1119001,""4"",""08/02/2008"",""42375"",""0.12"",""6"",""8"",""2"",""2008"",""70565"",""263265"",""66984.355"",""0"",""0"",""1"",""0"",""1"""
"Z1899001,""5"",""08/02/2008"",""23200"",""0.07"",""6"",""8"",""2"",""2008"",""53650"",""164130"",""52181.613"",""0"",""0"",""1"",""0"",""1"""
